Date,Close,High,Low,Open,Volume
2015-11-18,26.53568649,26.5809338,26.13071674,26.18953961,186698800
2015-11-19,26.87277985,27.09223286,26.41577593,26.61486645,173183200
2015-11-20,26.9904232,27.13069085,26.8886142,26.96779783,137148400
2015-11-23,26.63975334,27.08770919,26.54699414,26.9836373,129930000
2015-11-24,26.89540291,27.00173595,26.49722186,26.54473204,171212800
2015-11-25,26.7031002,26.97458917,26.67821367,26.97006341,85553200
2015-11-27,26.65332603,26.78907138,26.60581586,26.76192196,52185600
2015-11-30,26.76417923,27.01530564,26.6397466,26.69404369,156721200
2015-12-01,26.54698944,26.87956238,26.43839525,26.86598853,139409600
2015-12-02,26.3071785,26.72119798,26.2619312,26.54699227,133546400
2015-12-03,26.0628376,26.42255996,25.84112345,26.36826287,166278000
2015-12-04,26.92933655,26.9791096,26.0424765,26.08319976,231108000
2015-12-07,26.75966454,27.11712412,26.65333147,26.91803356,128336800
2015-12-08,26.74834633,26.83205399,26.43839702,26.58771447,137238000
2015-12-09,26.15786362,26.62618024,26.03569384,26.61486756,185445600
2015-12-10,26.28229713,26.45650288,26.13297965,26.25288656,116850800
2015-12-11,25.60583878,26.10582888,25.53117917,26.06058158,187544800
2015-12-14,25.4474678,25.4927151,24.83888185,25.37959514,257274800
2015-12-15,24.9972496,25.51986502,24.96557615,25.32529854,213292400
2015-12-16,25.18955421,25.33661052,24.61490628,25.12847019,224954000
2015-12-17,24.6556282,25.39543201,24.6556282,25.34339607,179091200
2015-12-18,23.98822212,24.77779908,23.93844906,24.6397943,385813200
2015-12-21,24.28233719,24.29138699,23.88415435,24.2710245,190362400
2015-12-22,24.2597065,24.37056357,24.08323792,24.29816687,131157600
2015-12-23,24.57191849,24.62621559,24.25291936,24.26875609,130629600
2015-12-24,24.44069862,24.66015163,24.42259902,24.66015163,54281600
2015-12-28,24.16695213,24.36378152,24.0221587,24.34115614,106816800
2015-12-29,24.6013298,24.75743591,24.17599935,24.198623,123724800
2015-12-30,24.28006935,24.59227983,24.2483959,24.56513215,100855200
2015-12-31,23.81401443,24.21445833,23.71446832,24.20993429,163649200
2016-01-04,23.83437729,23.83890305,23.07647384,23.21448034,270597600
2016-01-05,23.23710823,23.94750163,23.16923727,23.92487798,223164000
2016-01-06,22.78236389,23.16018595,22.59458603,22.75069043,273829600
2016-01-07,21.82084465,22.65340782,21.81632061,22.32536055,324377600
2016-01-08,21.93621826,22.42263434,21.89097098,22.29594056,283192000
2016-01-11,22.29141808,22.41132495,22.02219203,22.39096419,198957600
2016-01-12,22.61494446,22.78010038,22.3615551,22.74842692,196616800
2016-01-13,22.03350639,22.89321881,22.01314563,22.69638945,249758400
2016-01-14,22.51540184,22.73259374,21.660215,22.16246803,252680400
2016-01-15,21.97469139,22.10591101,21.57424734,21.76428811,319335600
2016-01-19,21.86834908,22.31856598,21.60590997,22.26426889,212350800
2016-01-20,21.8977623,22.21449854,21.13533314,21.51541628,289337600
2016-01-21,21.78691101,22.14436887,21.4792245,21.95885215,208646000
2016-01-22,22.94525146,22.95430127,22.25522077,22.3140419,263202000
2016-01-25,22.49729919,22.97013982,22.44526325,22.96787694,207178000
2016-01-26,22.62172508,22.82307844,22.18734493,22.60815124,300308000
2016-01-27,21.13533211,21.86156202,21.1172325,21.7280813,533478800
2016-01-28,21.28691101,21.38419424,20.90230388,21.21904008,222715200
2016-01-29,22.022192,22.022192,21.34573515,21.44528127,257666000
2016-02-01,21.81632042,21.87966733,21.58329353,21.82537023,163774000
2016-02-02,21.37514496,21.72807862,21.32989595,21.58780928,149428800
2016-02-03,21.79821587,21.90907294,21.28465201,21.49279232,183857200
2016-02-04,21.9733696,22.13942171,21.65264119,21.80504406,185886800
2016-02-05,21.3864994,22.04615568,21.31143643,21.95516831,185672400
2016-02-08,21.61169624,21.7686477,21.16358481,21.18405606,216085600
2016-02-09,21.6071434,21.82323863,21.36602834,21.4479168,177324800
2016-02-10,21.4433651,21.91649802,21.40469603,21.8186869,169374400
2016-02-11,21.31371498,21.54573292,21.06122579,21.33418797,200298800
2016-02-12,21.37968063,21.4956896,21.15676334,21.4251752,161405600
2016-02-16,21.98246384,22.03023181,21.52070499,21.61396578,196231600
2016-02-17,22.3191185,22.33958975,21.87100711,21.98928948,179452800
2016-02-18,21.89602661,22.49426564,21.85735581,22.48289157,156084000
2016-02-19,21.84597969,22.00975657,21.79138797,21.83688078,141496800
2016-02-22,22.03705597,22.04160629,21.81868733,21.90739953,137123200
2016-02-23,21.53890419,21.95061993,21.50705887,21.92787352,127770400
2016-02-24,21.85962677,21.92331739,21.22726739,21.37739677,145022800
2016-02-25,22.0097599,22.0097599,21.66628343,21.84825816,110330800
2016-02-26,22.04388237,22.29636977,21.96881766,22.10984644,115964400
2016-02-29,21.99383926,22.34413952,21.98474035,22.03250833,140865200
2016-03-01,22.8673172,22.92190894,22.15989284,22.21221115,201628400
2016-03-02,22.91735077,22.94919608,22.6648617,22.86275905,132678400
2016-03-03,23.08795547,23.13572345,22.84911386,22.87868575,147822800
2016-03-04,23.43144035,23.59976591,23.05839359,23.28586121,184220400
2016-03-07,23.17212296,23.39049162,22.96512662,23.29040533,143315600
2016-03-08,22.98104858,23.14710068,22.83774464,22.92418169,126247600
2016-03-09,23.00152016,23.10615503,22.80817134,23.04473781,108806800
2016-03-10,23.01289177,23.25628198,22.78087563,23.06748523,134054400
2016-03-11,23.26083374,23.26538233,23.0879579,23.25628342,109632800
2016-03-14,23.31997108,23.40868502,23.15164559,23.18121748,100304400
2016-03-15,23.78855705,23.92503724,23.62250498,23.64752655,160270800
2016-03-16,24.10473824,24.18207637,23.79083188,23.79538221,153214000
2016-03-17,24.06607056,24.21847342,23.87499689,24.00237818,137682800
2016-03-18,24.09335709,24.22528865,23.92730678,24.18889302,176820800
2016-03-21,24.09108734,24.48688036,23.91593637,24.09563593,142010800
2016-03-22,24.27534294,24.40499941,23.93186637,23.94096529,129777600
2016-03-23,24.14113045,24.3549505,24.08881388,24.22074548,102814000
2016-03-24,24.0364933,24.16842488,23.85906891,23.99100049,104532000
2016-03-28,23.92731094,24.15477848,23.89773905,24.11155909,77645600
